NVIDIA A100 80GB PCIe, 81920 MiB
devices: [CudaDevice(id=0)]
gcnn on Heisenberg/triangular_36_P: 7232 parameters, n_conn 108
step     0  t=    28.5s  E=107.957738 ± 0.031091  var=3.9315  tau=0.00  Rhat=1.118
step    20  t=    45.5s  E=107.580334 ± 0.073551  var=21.7010  tau=0.01  Rhat=1.118
step    40  t=    62.5s  E=28.116694 ± 0.584801  var=1323.9506  tau=0.03  Rhat=1.126
step    60  t=    79.4s  E=-16.525240 ± 0.317003  var=345.4496  tau=0.10  Rhat=1.139
step    80  t=    96.3s  E=-30.826237 ± 0.292252  var=302.1654  tau=0.08  Rhat=1.129
step   100  t=   113.3s  E=-43.410605 ± 0.258296  var=238.8973  tau=0.07  Rhat=1.131
step   120  t=   130.2s  E=-31.817234 ± 0.407639  var=434.6100  tau=0.28  Rhat=1.165
step   140  t=   142.6s  E=-33.765879 ± 0.094180  var=16.2177  tau=0.62  Rhat=1.223
step   160  t=   154.9s  E=-38.402841 ± 0.065705  var=6.6179  tau=0.84  Rhat=1.262
step   180  t=   167.7s  E=-40.420264 ± 0.090185  var=22.8406  tau=0.23  Rhat=1.160
step   200  t=   180.7s  E=-41.258558 ± 0.050654  var=5.0092  tau=0.55  Rhat=1.183
step   220  t=   193.0s  E=-41.440900 ± 0.048357  var=5.3182  tau=0.40  Rhat=1.226
step   240  t=   204.8s  E=-38.462198 ± 0.139539  var=32.8920  tau=0.71  Rhat=1.242
step   260  t=   217.0s  E=-42.252298 ± 0.035233  var=2.3793  tau=0.57  Rhat=1.208
step   280  t=   229.2s  E=-42.513054 ± 0.024261  var=1.0878  tau=0.61  Rhat=1.249
step   300  t=   241.4s  E=-42.603023 ± 0.022961  var=1.0073  tau=0.57  Rhat=1.216
step   320  t=   253.9s  E=-42.740427 ± 0.017464  var=0.6192  tau=0.51  Rhat=1.221
step   340  t=   265.9s  E=-26.665393 ± 0.126512  var=29.5045  tau=0.61  Rhat=1.234
step   360  t=   277.4s  E=-35.368187 ± 0.049513  var=3.8362  tau=0.81  Rhat=1.249
step   380  t=   289.6s  E=-36.932029 ± 0.084949  var=12.5289  tau=0.68  Rhat=1.233
step   400  t=   300.9s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   420  t=   310.6s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   440  t=   320.3s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   460  t=   329.9s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   480  t=   339.6s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   500  t=   349.3s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   520  t=   358.9s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   540  t=   368.6s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   560  t=   378.3s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   580  t=   388.0s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   600  t=   397.7s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   620  t=   407.3s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   640  t=   417.0s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   660  t=   426.7s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   680  t=   436.4s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   700  t=   446.1s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   720  t=   455.7s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   740  t=   465.4s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   760  t=   475.1s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   780  t=   484.8s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   800  t=   494.5s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   820  t=   504.1s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   840  t=   513.8s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   860  t=   523.5s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   880  t=   533.2s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   900  t=   542.9s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   920  t=   552.5s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   940  t=   562.2s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   960  t=   571.9s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step   980  t=   581.6s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1000  t=   591.3s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1020  t=   601.0s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1040  t=   610.6s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1060  t=   620.3s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1080  t=   630.0s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1100  t=   639.7s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1120  t=   649.3s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1140  t=   659.0s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1160  t=   668.7s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1180  t=   678.4s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1200  t=   688.1s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1220  t=   697.8s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1240  t=   707.4s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1260  t=   717.1s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1280  t=   726.8s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1300  t=   736.4s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1320  t=   746.1s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1340  t=   755.8s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1360  t=   765.5s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1380  t=   775.2s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1400  t=   784.8s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1420  t=   794.5s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
step  1440  t=   804.2s  E=nan ± nan  var=nan  tau=nan  Rhat=nan
