arxiv	mode	bytes
0802.2923	layout	41736
0807.4878	layout	54184
1004.2563	layout	99044
1105.1374	layout	68885
1205.4858	layout	48205
1406.1078	layout	62387
1407.0318	plain	27758
1412.3555	layout	27934
1412.6980	plain	41375
1607.06450	layout	53275
1608.03983	layout	46085
1610.00695	layout	67396
1611.09467	layout	54885
1703.04267	layout	79427
1706.03762	layout	44563
1706.06416	layout	53504
1711.04771	layout	77204
1804.06488	layout	78545
1809.01480	layout	57541
1810.06399	layout	50137
1810.07963	layout	90638
1811.00021	layout	70627
1811.06586	plain	151419
1811.12423	layout	82376
1901.00278	layout	79071
1901.00980	layout	84287
1901.05098	layout	99784
1901.07900	layout	68960
1901.09151	layout	59278
1901.09194	layout	136831
1902.03214	layout	30562
1902.05664	layout	42843
1902.06475	layout	45060
1902.07179	layout	45445
1903.00891	layout	37148
1903.01160	layout	54742
1903.05098	layout	109640
1903.09207	layout	69442
1903.09947	layout	55807
1904.00330	layout	47513
1904.07251	layout	69357
1905.00460	layout	179270
1905.03312	layout	101821
1905.12050	layout	55385
1906.03396	layout	81254
1906.03464	layout	78038
1907.02883	layout	41405
1907.08570	layout	33415
1907.11056	layout	71501
1908.02271	layout	40654
1908.09510	layout	49418
1909.02503	layout	46505
1909.05450	layout	65816
1909.07819	layout	81735
1912.00928	layout	61148
1912.01703	layout	44219
1912.04291	layout	116441
1912.04913	layout	98963
2001.01080	layout	35400
2001.02059	layout	69492
2002.04656	layout	106344
2002.05608	layout	64084
2002.06283	layout	114046
2002.09749	layout	38170
2002.10548	layout	112584
2003.04898	layout	141297
2003.06062	layout	96189
2003.06228	layout	43476
2004.07637	layout	109381
2004.09812	layout	90885
2005.12768	layout	47786
2006.07936	layout	190208
2006.15002	layout	42988
2007.02804	layout	93790
2007.13983	layout	34946
2007.15577	layout	59197
2009.01821	layout	125633
2009.12354	plain	40362
2010.03563	layout	59471
2010.11929	layout	74884
2011.02532	layout	77358
2011.06520	layout	66505
2011.06860	layout	43876
2011.10719	layout	75754
2012.01424	plain	50561
2012.02803	layout	113997
2012.05597	layout	72024
2012.10060	layout	119202
2012.14515	layout	113264
2101.08787	layout	159210
2102.07808	layout	36846
2102.13656	layout	119394
2103.03489	layout	57503
2103.05545	layout	108010
2103.09469	layout	61411
2104.00791	layout	73078
2105.02128	layout	120508
2105.06971	layout	96782
2105.12726	layout	226764
2106.09046	layout	84852
2106.09722	layout	58767
2106.11298	layout	61821
2107.09613	layout	61328
2107.12256	layout	101155
2108.01096	layout	99005
2108.01217	layout	115699
2108.06961	layout	125837
2109.03835	layout	128806
2110.06390	layout	74574
2110.08160	layout	102127
2110.08198	layout	90739
2111.10483	layout	277294
2112.00014	layout	156471
2112.11558	layout	65544
2201.03057	layout	37665
2201.03099	layout	64731
2202.05513	layout	115250
2202.07357	layout	60553
2202.11085	layout	75221
2203.02319	layout	42546
2203.07880	layout	97065
2203.08780	plain	57933
2204.13722	layout	61215
2205.09512	layout	37819
2206.00565	layout	47770
2206.03707	layout	136228
2206.08710	layout	44779
2206.13049	layout	93293
2207.01642	layout	53297
2207.13105	layout	165407
2207.14314	layout	37116
2208.01279	layout	55423
2208.07620	layout	276708
2209.10390	layout	38497
2210.03548	layout	93426
2210.07235	plain	82238
2210.13726	layout	51471
2210.16108	layout	112587
2211.00679	layout	39861
2211.02031	layout	52303
2211.06758	plain	62158
2211.07749	layout	78430
2211.08823	layout	183649
2211.13672	layout	93925
2211.15140	layout	98231
2212.06263	layout	97902
2212.10838	layout	65216
2301.01407	layout	131807
2301.04657	layout	217717
2302.04171	layout	145772
2302.09019	layout	220675
2303.05483	layout	69912
2303.11010	layout	97501
2303.11207	layout	95191
2304.01934	layout	65423
2304.01996	layout	93972
2305.06911	layout	115315
2305.14121	layout	96400
2306.08212	layout	37109
2306.13183	layout	201051
2306.17216	layout	75800
2307.07479	layout	92117
2307.11937	layout	112034
2307.15738	layout	51867
2308.02471	plain	45191
