score	date	arxiv	peer_reviewed	journal_ref	doi	title
10	2026-07-01	2607.00398	yes	In Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2 (KDD '26), August 09-13, 2026, Jeju Island, Republic of Korea	10.1145/3770855.3818932	Holographic Quantum Transformer: A Generalist Neuro-Symbolic Architecture for Solving Frustrated Systems via Generative Attention
10	2025-06-10	2506.08329	yes	Phys. Rev. B 113, 085134 (2026)	10.1103/x8vl-qf14	Neuralized Fermionic Tensor Networks for Quantum Many-Body Systems
10	2025-05-06	2505.03466	yes	Phys. Rev. Research 7, 043099 (2025)	10.1103/ybgv-35jm	Design principles of deep translationally-symmetric neural quantum states for frustrated magnets
9	2025-10-06	2510.04907	yes	Phys. Rev. B 113, 045117 (2026)	10.1103/g5gm-tzf8	Variational optimization of projected entangled-pair states on the triangular lattice
8	2026-08-12	2608.12465	no			Superconductivity in the $t$-$t'$ Hubbard Model from Symmetry-Preserving Neural-Network Quantum States
8	2026-05-21	2605.28861	no			Comment on "Spin-1/2 Kagome Heisenberg Antiferromagnet: Machine Learning Discovery of the Spinon Pair-Density-Wave Ground State"
8	2026-04-28	2604.25775	no			Pareto Frontier of Neural Quantum States: Scalable, Affordable, and Accurate Convolutional Backflow for Strongly Correlated Lattice Fermions
8	2026-04-23	2604.21978	no			Beyond Variational Bias: Resolving Intertwined Orders in the Hubbard Model
8	2025-10-30	2510.26906	no			Enhancing Neural Network Backflow
8	2025-10-13	2510.11710	yes	Phys. Rev. B 113, 245104, 2026	10.1103/s3kd-bc4q	Comparing Symmetrized Determinant Neural Quantum States for the Hubbard Model
8	2025-06-02	2506.01891	no			Probing Quantum Spin Systems with Kolmogorov-Arnold Neural Network Quantum States
7	2025-12-16	2512.14414	yes	Phys. Rev. B 113, 155127 (2026)	10.1103/cb6p-w59b	Single-layer framework of variational tensor network states
7	2025-02-19	2502.13454	yes	Phys. Rev. Lett. 134, 256502 (2025), Editor's Suggestion	10.1103/r4q9-4yvj	Accurate Simulation of the Hubbard Model with Finite Fermionic Projected Entangled Pair States
6	2026-09-08	2609.08453	no			The Forgotten History of Wave Function Variance Optimization and its Relevance for Neural-Network VMC
6	2026-08-16	2608.15806	no			Longitudinal-Field-Driven Transition in a non-integrable Non-Hermitian Transverse-Field Ising Chain via RBMs
6	2026-08-14	2608.14476	no			A Fixed Universal Determinant is Variationally Complete for Continuum Fermions
6	2026-07-21	2607.18865	no			Enhanced Neural Quantum State via Annealed Gradient Descent
6	2026-05-08	2605.07779	no			Neural network quantum states in the grand canonical ensemble
6	2026-03-15	2603.14425	no			Disentangling Tensor Network States with Deep Neural Network
6	2025-06-27	2506.22414	yes	Phys. Rev. Lett. 135, 236504 (2025)	10.1103/t25p-x319	Spin Seebeck Effect of Triangular-lattice Spin Supersolid
6	2025-06-14	2506.12391	no			Simulating the Antiferromagnetic Heisenberg Model on a Spin-Frustrated Kagome Lattice with the Contextual Subspace Variational Quantum Eigensolver
6	2025-02-24	2502.17144	no			Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice
5	2026-08-18	2608.18065	no			Quantum Geometric Tensor Preconditioning for Stable Training of Recurrent Neural Quantum States
5	2026-08-11	2608.10365	no			Symmetrized Block-Product Periodic Marginals in Infinite Translation-Invariant Quantum Chains
5	2026-06-15	2606.17045	no			Compact Spin-Charge Separated Neural Quantum States for Valence-Bond States
