arxiv	doi	year	seeds	venue	title
2609.05556		2026	varbench		Kibble-Zurek Dynamics in Two-dimensional Frustrated Systems with a Neural Foundation-state Subspace Method
2609.01719		2026	varbench		Numerical simulation of D-Wave's quantum advantage experiment with time-dependent variational Monte Carlo
2609.00124		2026	varbench		Green-function Zeros Encode Competing Mott and Charge-ordering Scales
2608.21291		2026	varbench		Neural quantum states in condensed matter: advances, best practices, and prospects
2608.18065		2026	varbench		Quantum Geometric Tensor Preconditioning for Stable Training of Recurrent Neural Quantum States
	10.1021/jacs.6c04752	2026	varbench	Journal of the American Chemical Society	Large-Scale Quantum Computing Emulation for Accurate Triplet States of Ir(III) and Pt(II) Phosphorescent Emitters
2607.25462		2026	varbench		Covariance Geometry of Basis-Resolved Low-Energy Wavefunctions in the Spin-$1/2$ Kitaev--Heisenberg Model
2607.18865	10.48550/arxiv.2607.18865	2026	varbench	ArXiv	Enhanced Neural Quantum State via Annealed Gradient Descent
	10.1038/s41467-026-74936-7	2026	varbench	Nature Communications	Generalised quantum computational spectroscopy on a quantum chip
2607.02292	10.48550/arxiv.2607.02292	2026	varbench	ArXiv	One More Time: Revisiting Neural Quantum States from a Reinforcement Learning Perspective
2606.28201		2026	varbench		Hybrid Quantum-Classical Neural Networks for Recognizing Quantum Phases
2606.26233		2026	varbench		A fidelity metric for quantum annealing benchmarked by extreme scaling quantum Monte-Carlo simulations
2606.22984	10.48550/arxiv.2606.22984	2026	varbench	ArXiv	Scalable Physics-Inspired Transformers for Spin Glasses
2606.08181		2026	varbench		Microscopic mechanism of high-temperature superconductivity revealed by ab initio studies on hole-doped multilayer cuprates HgBa$_2$Ca$_2$Cu$_3$O$_8$ under pressure
2606.07825		2026	varbench		Projected Inverse Iteration: An Eigenvalue Approach to Ground-State Computation with Neural Quantum States
2606.04558		2026	varbench		Extremely slow scaling of minimal Hamming distance in quantum sampling data
2606.05293		2026	varbench		Thermalization Dynamics in the Two-Dimensional Hubbard Model with Neural-Network Quantum States
