score	arxiv	peer_reviewed	n_energies	n_with_errorbar	n_tables	models	journal_ref	title
14	2607.00398	yes	17	16	19	kagome+triangular+J1J2+Hubbard+square-Heis	In Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2 (KDD '26), August 09-13, 2026, Jeju Island, Republic of Korea	Holographic Quantum Transformer: A Generalist Neuro-Symbolic Architecture for Solving Frustrated Systems via Generative Attention
14	2505.03466	yes	9	7	33	kagome+J1J2+Shastry	Phys. Rev. Research 7, 043099 (2025)	Design principles of deep translationally-symmetric neural quantum states for frustrated magnets
14	2510.11710	yes	8	8	39	kagome+triangular+J1J2+Hubbard+Shastry+TFIsing	Phys. Rev. B 113, 245104, 2026	Comparing Symmetrized Determinant Neural Quantum States for the Hubbard Model
14	2604.11880	yes	23	19	69	kagome+triangular+pyrochlore+Shastry	Rep. Prog. Phys. 89, 078003 (2026)	Classification and correlation signatures of chiral spin liquids on the pyrochlore lattice
13	2502.13454	yes	119	92	43	Hubbard+Shastry	Phys. Rev. Lett. 134, 256502 (2025), Editor's Suggestion	Accurate Simulation of the Hubbard Model with Finite Fermionic Projected Entangled Pair States
13	2601.02555	yes	21	18	18	kagome+pyrochlore+TFIsing	Phys. Rev. B 113, 214415 (2026)	Influence of controlled disorder on the dipolar spin ice state of Ho-based pyrochlores
13	2508.19248	yes	6	16	25	kagome+pyrochlore+TFIsing	Materials Today Physics 67 (2026) 102169	Disorder-induced proximate quantum spin ice phase in Pr2Sn2O7
12	2506.08329	yes	52	29	22	Hubbard	Phys. Rev. B 113, 085134 (2026)	Neuralized Fermionic Tensor Networks for Quantum Many-Body Systems
12	2604.21978	no	15	18	19	J1J2+Hubbard+Shastry		Beyond Variational Bias: Resolving Intertwined Orders in the Hubbard Model
12	2510.26906	no	11	7	16	kagome+Hubbard+Shastry		Enhancing Neural Network Backflow
12	2603.14425	no	28	26	24	triangular+J1J2+Hubbard		Disentangling Tensor Network States with Deep Neural Network
12	2502.17144	no	48	50	26	kagome+triangular+Hubbard+square-Heis		Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the square lattice
12	2608.18065	no	11	8	151	kagome+triangular+J1J2+Hubbard+TFIsing+square-Heis		Quantum Geometric Tensor Preconditioning for Stable Training of Recurrent Neural Quantum States
12	2602.02665	no	25	21	50	triangular+J1J2+Hubbard+Shastry+square-Heis		Approaching the Thermodynamic Limit with Neural-Network Quantum States
12	2601.07800	no	39	42	108	kagome+triangular+pyrochlore+J1J2		Rigorous Anderson-type lower bounds on the ground-state energy of the pyrochlore Heisenberg antiferromagnet
12	2507.10705	no	18	10	81	Hubbard+Shastry+tV		Neural Network-Augmented Pfaffian Wave-functions for Scalable Simulations of Interacting Fermions
12	2605.13807	no	77	66	44	kagome+triangular+Hubbard+TFIsing+square-Heis		Parallel Scan Recurrent Neural Quantum States for Scalable Variational Monte Carlo
12	2505.20406	no	24	19	38	kagome+triangular+J1J2+square-Heis		Leveraging recurrence in neural network wavefunctions for large-scale simulations of Heisenberg antiferromagnets on the triangular lattice
12	2607.14766	no	12	6	33	kagome+triangular+Hubbard		Emergence of a monopole phase in the $J_1{-}J_2$ Heisenberg model on the triangular lattice for small magnetic fields
11	2510.04907	yes	18	0	18	kagome+triangular+shuriken+Shastry	Phys. Rev. B 113, 045117 (2026)	Variational optimization of projected entangled-pair states on the triangular lattice
11	2608.12465	no	8	5	12	Hubbard+Shastry		Superconductivity in the $t$-$t'$ Hubbard Model from Symmetry-Preserving Neural-Network Quantum States
11	2604.25775	no	69	7	19	Hubbard+Shastry		Pareto Frontier of Neural Quantum States: Scalable, Affordable, and Accurate Convolutional Backflow for Strongly Correlated Lattice Fermions
11	2512.14414	yes	7	0	12	kagome+J1J2+Hubbard+Shastry+square-Heis	Phys. Rev. B 113, 155127 (2026)	Single-layer framework of variational tensor network states
11	2507.02644	no	30	9	33	Hubbard+Shastry		Solving the Hubbard model with Neural Quantum States
11	2502.14091	yes	7	3	1	Shastry+square-Heis	Phys. Rev. Lett. 136, 186701 (2026)	Quantum spin liquid phase in the Shastry-Sutherland model revealed by high-precision infinite projected entangled-pair states
11	2502.13223	yes	14	0	84	kagome+triangular+Hubbard	Phys. Rev. B 112, 224415 (2025)	Triangular lattice models of the Kalmeyer-Laughlin spin liquid from coupled wires
11	2511.07566	no	28	28	51	pyrochlore+Hubbard		Superconductivity in the two-dimensional Hubbard model revealed by neural quantum states
11	2510.02051	no	10	5	79	J1J2+Hubbard		Improving neural network performance for solving quantum sign structure
10	2608.04979	no	23	3	98	Hubbard		Delocalized Coupled-Cluster Theory for Polaron Structure and Dynamics
10	2602.03031	no	53	50	42	Hubbard		Physics-inspired transformer quantum states via latent imaginary-time evolution
10	2606.30464	no	10	12	8	square-Heis		NQS-Agent: Health-Aware Agentic Hyperparameter Optimization for Neural-Network Quantum States
9	2606.17045	no	43	0	31	triangular+Hubbard+TFIsing		Compact Spin-Charge Separated Neural Quantum States for Valence-Bond States
9	2601.21310	yes	68	0	36	Hubbard	J. Chem. Theory Comput. 22, 6497-6509 (2026)	A Deterministic Framework for Neural Network Quantum States in Quantum Chemistry
