arxiv	cited_by_n_seeds	in_candidates	context
2010.11929	3	no	An image is worth 16x16 words: transformers for image recognition at scale . arXiv preprint arXiv:
2507.02644	3	yes	Solving the hubbard model with neural quantum states . arXiv preprint arXiv:
2502.17144	2	yes	for lattice sizes up to 30 × 30 30\times 30 . In a recent study [M. S. Moss et al. arXiv:
2104.05085	2	no	C. Roth and A. H. MacDonald, Group Convolutional Neural Networks Improve Quantum State Accuracy (2021), arXiv:
2502.13454	2	yes	 simulation of the hubbard model with finite fermionic projected entangled pair states . arXiv preprint arXiv:
2412.11778	2	no	Time-dependent neural galerkin method for quantum dynamics . External Links: arXiv:
2503.10462	2	no	3762 [cs.CL] . [40] A. Chen, V. D. Naik, and M. Heyl, Convolutional transformer wave functions (2025a), arXiv:
2507.10705	2	yes	, arXiv:
1407.0318	1	no	ta, and M. Imada, Gapless spin-liquid phase in an extended spin 1/2 triangular Heisenberg model (2021), arXiv:
2211.07749	1	no	, arXiv:
2405.19397	1	no	, arXiv:
2207.14314	1	no	, arXiv:
2110.06390	1	no	, arXiv:
2206.07370	1	no	, arXiv:
2003.06228	1	no	. [62] C. Roth, Iterative Retraining of Quantum Spin Models Using Recurrent Neural Networks (2020), arXiv:
2303.11207	1	no	, arXiv:
1412.6980	1	no	, arXiv:2303.11207. [65] D. P. Kingma and J. Ba, Adam: A method for stochastic optimization (2017), arXiv:
2408.15715	1	no	. [68] Y. H. Teoh and R. G. Melko, Autoregressive model path dependence near Ising criticality (2024), arXiv:
2405.20384	1	no	, arXiv:
2410.23152	1	no	, T. Bergamaschi, and J. Preskill, When can classical neural networks represent quantum states? (2024), arXiv:
2308.02471	1	no	, W. Ren, and J. Chen, Variance extrapolation method for neural-network variational Monte Carlo (2023), arXiv:
2408.07625	1	no	nd A. I. Lvovsky, Neural Quantum States and Peaked Molecular Wave Functions: Curse or Blessing? (2024), arXiv:
1406.1078	1	no	ng phrase representations using rnn encoder-decoder for statistical machine translation, arXiv preprint arXiv:
1412.3555	1	no	Y. Bengio, Empirical evaluation of gated recurrent neural networks on sequence modeling, arXiv preprint arXiv:
1611.09467	1	no	.-J. Han, G.-C. Guo, and L. He, Gradient optimization of finite projected entangled pair states (2017), arXiv:
2502.05383	1	no	Is attention all you need to solve the correlated electron problem? . arXiv preprint arXiv:
0807.4878	1	no	Introduction to hubbard model and exact diagonalization . arXiv preprint arXiv:
2411.10430	1	no	ulating the two-dimensional t ​ J tJ model at finite doping with neural quantum states . arXiv preprint arXiv:
2510.26906	1	yes	x H , §I , §V . [36] K. Loehr and B. K. Clark (2025) Enhancing neural network backflow . arXiv preprint arXiv:
1608.03983	1	no	Sgdr: stochastic gradient descent with warm restarts . arXiv preprint arXiv:
2407.07145	1	no	, arXiv:
2502.14091	1	yes	, arXiv:
2508.17292	1	no	, arXiv:
2410.02215	1	no	, arXiv:
1004.2563	1	no	, arXiv:
2304.01996	1	no	, arXiv:
1706.03762	1	no	, arXiv:
2211.13672	1	no	, arXiv:
2306.08212	1	no	. [51] W. Lan and G. Evenbly, Reduced contraction costs of corner-transfer methods for peps (2023), arXiv:
2302.09019	1	no	, arXiv:
1912.01703	1	no	, arXiv:
1811.12423	1	no	, arXiv:
2512.11670	1	no	hiral spin density wave at the 1/9 magnetization plateau in the kagome antiferromagnets. arXiv preprint arXiv:
1607.06450	1	no	 Cited by: §I . [2] J. L. Ba, J. R. Kiros, and G. E. Hinton (2016) Layer normalization . arXiv preprint arXiv:
2507.01856	1	yes	1] X. Liang (2025) Investigating the fermi-hubbard model by the tensor-backflow method . arXiv preprint arXiv:
2504.06087	1	no	curate ab-initio neural-network solutions to large-scale electronic structure problems . arXiv preprint arXiv:
1105.1374	1	no	, arXiv:
0802.2923	1	no	9707221 . [10] K. V. Houcke, E. Kozik, N. Prokof’ev, and B. Svistunov, Diagrammatic Monte Carlo (2008), arXiv:
2401.02866	1	no	, arXiv:
2310.05715	1	no	, arXiv:
2410.10720	1	no	 L. Gravina, V. Savona, and F. Vicentini, Neural Projected Quantum Dynamics: A systematic study (2024), arXiv:
2009.01821	1	no	, arXiv:
2501.00096	1	no	, arXiv:
2403.07795	1	no	, arXiv:
2412.11830	1	no	, arXiv:
2404.07869	1	no	. [80] Z. Denis and G. Carleo, Accurate neural quantum states for interacting lattice bosons (2024), arXiv:
