arxiv	peer_reviewed	title	instance	verdict	eps	err	rel_pct	kind	convention	src	table	row_label	col_header	sizes	note	record_eps	record_method	exact_eps	caption
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_100_P_0.9	BEATS	-0.9401		-49.944	variational?		pdf	10	8×32	Size	8x32,10x10	J2=UNSTATED(instance J2=0.9)	-0.6269664332766733	DMRG (bond dimension = 1024)		TABLE VII. Energy results for the fillingn=0.8 and FIG. 8. Density-density correlations forn=0.875,U=8 and n=0.9375, witht ′=0 under PBC. For all cases in the table, t′=0 on the 8×32 lattice under PBC. With NN backflow in initial UHFs are insufficiently optimized withU UHF =U. On the wave-function. 
2104.03632	yes	Can a CNN trained on the Ising model detect the phase transition of the $q$-state Potts model?	Hubbard/square_64_P_25_4	BEATS	-1.6945		-49.906	variational?		pdf	0	8	E        M	N=8,L=8	filling=UNSTATED(instance delta=0.2188)	-1.130375	mVMC with SU(2) and momentum projections (gamma point) + RBM + Lanczos, (U=4), alpha = 8 with 1x1 RBM subspace		Table 1: The transition temperatures of the q-state Potts models for various q. T∗c,q, E and M, respectively, denote the temperature, internal energy, and magnetization of the image for which the CNN outputs T CNNc = 1.1209. That is, these are the quantities of the generated image that the CNN predi
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_100_P_0.9	BEATS	-0.9394		-49.833	variational?		pdf	10		Size	8x32,10x10	J2=UNSTATED(instance J2=0.9)	-0.6269664332766733	DMRG (bond dimension = 1024)		TABLE VII. Energy results for the fillingn=0.8 and FIG. 8. Density-density correlations forn=0.875,U=8 and n=0.9375, witht ′=0 under PBC. For all cases in the table, t′=0 on the 8×32 lattice under PBC. With NN backflow in initial UHFs are insufficiently optimized withU UHF =U. On the wave-function. 
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_100_P_0.9	BEATS	-0.9384		-49.673	variational?		pdf	10	8×16	Size	8x16,8x32,10x10	J2=UNSTATED(instance J2=0.9)	-0.6269664332766733	DMRG (bond dimension = 1024)		TABLE VII. Energy results for the fillingn=0.8 and FIG. 8. Density-density correlations forn=0.875,U=8 and n=0.9375, witht ′=0 under PBC. For all cases in the table, t′=0 on the 8×32 lattice under PBC. With NN backflow in initial UHFs are insufficiently optimized withU UHF =U. On the wave-function. 
2510.11710	yes	Comparing Symmetrized Determinant Neural Quantum States for the Hubbard Model	J1J2/square_64_P_0.5	BEATS	-0.7458	0.0006	-49.470	variational?		html	0	JBf ( 8 × 8 Torus)	E 0 / M	8x8,8x4	J2=UNSTATED(instance J2=0.5)	-0.4989634765625	RBM+PP with momentum (K=0), spin-parity (even S), and point-group (A1) projections, 16 hidden units		Table 1: Converged variational energies per site for different lattices and network architectures. The left table shows results for the 8 × 4 and 8 × 8 cylinders and 8 × 8 torus lattices with U / t = 8 and n h = 1 / 8 hole doping. The right table shows results for the 8 × 8 torus with ViT and Symm-V
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	Hubbard/square_64_P_28_8	BEATS	-1.114744		-49.470	variational?		pdf	1	80/100 4 10×10 PBC	Condition	10x10,12x12,8x8	filling=UNSTATED(instance delta=0.1250)	-0.7458	Jastrow-backflow (JBf), 8x8 torus		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2510.11710	yes	Comparing Symmetrized Determinant Neural Quantum States for the Hubbard Model	J1J2/square_64_P_0.5	BEATS	-0.7454	0.0009	-49.390	variational?		html	0	HFDS ( 8 × 8 Torus)	E 0 / M	8x8,8x4	J2=UNSTATED(instance J2=0.5)	-0.4989634765625	RBM+PP with momentum (K=0), spin-parity (even S), and point-group (A1) projections, 16 hidden units		Table 1: Converged variational energies per site for different lattices and network architectures. The left table shows results for the 8 × 4 and 8 × 8 cylinders and 8 × 8 torus lattices with U / t = 8 and n h = 1 / 8 hole doping. The right table shows results for the 8 × 8 torus with ViT and Symm-V
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_256_P_0.5	BEATS	-0.742		-49.322	variational?		pdf	1	16×16 PBC	Size	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.496914	CNN-MPS		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_256_P_0.5	BEATS	-0.7419		-49.301	variational?		pdf	1	0.875 16×16	Error	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.496914	CNN-MPS		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
2507.01856	no	Investigating the Fermi-Hubbard model by the tensor-backflow method	J1J2/square_256_P_0.5	BEATS	-0.7414		-49.201	variational?		pdf	1	16×16 PBC	Error	16x16,12x12,8x8,10x10	J2=UNSTATED(instance J2=0.5)	-0.496914	CNN-MPS		1 8 12×12 PBC -0.5209 -0.5224 -0.524643 TABLE II. Energy comparisons respect to state-of-the-art A NA PBC -0.5205 -0.5224 -0.524943 NQS results10 forn=0.875,U=8 under varioust ′, lattice 44/64 8×8 -1.1833 -1.1846 -1.186744 sizes and boundary conditions, with NN backflow fort ′=0 80/100 4 10×10 PBC -
